Capstone Competition									
Page last updated on: 2015-10-12 04:28:58 (GMT)									
Rank	Alias	Classification Accuracy	Precision 0	Precision 1	Recall 0	Recall 1	Precision	Recall	F1
125	kamal	0.623382733	0.99470566	0.012240664	0.623695858	0.584158416	0.503473162	0.603927137	0.549143983
126	jacaranda	0.613502705	0.994746957	0.012126112	0.61365792	0.594059406	0.503436534	0.603858663	0.549093888
127	da_bergueiro	0.602760135	0.994782155	0.011991351	0.602750553	0.603960396	0.503386753	0.603355475	0.548856176
128	pepe2	0.717635066	0.994320044	0.013618677	0.71949099	0.485148515	0.50396936	0.602319752	0.548772824
129	obernal	0.648710107	0.994553377	0.012469383	0.649462536	0.554455446	0.50351138	0.601958991	0.548351562
130	Morfius	0.551399671	0.995000714	0.01147427	0.550584888	0.653465347	0.503237492	0.602025117	0.548216519
131	bpt	0.490551243	0.995332368	0.011009174	0.488776478	0.712871287	0.503170771	0.600823883	0.547678406
132	vishvam	0.53689328	0.995010273	0.01128136	0.535883655	0.663366337	0.503145817	0.599624996	0.547165022
133	blach	0.53634439	0.995005142	0.011268079	0.535330383	0.663366337	0.503136611	0.59934836	0.547044378
134	UniqueMindz	0.53634439	0.995005142	0.011268079	0.535330383	0.663366337	0.503136611	0.59934836	0.547044378
135	Shengda	0.53634439	0.995005142	0.011268079	0.535330383	0.663366337	0.503136611	0.59934836	0.547044378
136	chickenguy	0.53634439	0.995005142	0.011268079	0.535330383	0.663366337	0.503136611	0.59934836	0.547044378
137	pegsta	0.53634439	0.995005142	0.011268079	0.535330383	0.663366337	0.503136611	0.59934836	0.547044378
138	jbarendse	0.53634439	0.995005142	0.011268079	0.535330383	0.663366337	0.503136611	0.59934836	0.547044378
139	dzjuck	0.53634439	0.995005142	0.011268079	0.535330383	0.663366337	0.503136611	0.59934836	0.547044378
140	anmolbhuinya	0.53634439	0.995005142	0.011268079	0.535330383	0.663366337	0.503136611	0.59934836	0.547044378
141	derzse	0.53634439	0.995005142	0.011268079	0.535330383	0.663366337	0.503136611	0.59934836	0.547044378
142	walter	0.53634439	0.995005142	0.011268079	0.535330383	0.663366337	0.503136611	0.59934836	0.547044378
143	ankithg	0.53634439	0.995005142	0.011268079	0.535330383	0.663366337	0.503136611	0.59934836	0.547044378
144	fsp	0.53634439	0.995005142	0.011268079	0.535330383	0.663366337	0.503136611	0.59934836	0.547044378
145	Dar101	0.53634439	0.995005142	0.011268079	0.535330383	0.663366337	0.503136611	0.59934836	0.547044378
146	xhou	0.53634439	0.995005142	0.011268079	0.535330383	0.663366337	0.503136611	0.59934836	0.547044378
147	IoFirstRF	0.652317102	0.994464501	0.012379023	0.653177363	0.544554455	0.503421762	0.598865909	0.547011709
